Mortgage Amount:       $ 719704.48
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 4200.00
Total Payment:         $ 1512000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

        1      3448.58       751.42    718953.07
        2      3444.98       755.02    718198.05
        3      3441.37       758.63    717439.41
        4      3437.73       762.27    716677.14
        5      3434.08       765.92    715911.22
        6      3430.41       769.59    715141.63
        7      3426.72       773.28    714368.35
        8      3423.02       776.98    713591.37
        9      3419.29       780.71    712810.66
       10      3415.55       784.45    712026.21
       11      3411.79       788.21    711238.00
       12      3408.02       791.98    710446.02
       13      3404.22       795.78    709650.24
       14      3400.41       799.59    708850.64
       15      3396.58       803.42    708047.22
       16      3392.73       807.27    707239.95
       17      3388.86       811.14    706428.81
       18      3384.97       815.03    705613.78
       19      3381.07       818.93    704794.84
       20      3377.14       822.86    703971.98
       21      3373.20       826.80    703145.18
       22      3369.24       830.76    702314.42
       23      3365.26       834.74    701479.68
       24      3361.26       838.74    700640.93
       25      3357.24       842.76    699798.17
       26      3353.20       846.80    698951.37
       27      3349.14       850.86    698100.51
       28      3345.06       854.94    697245.58
       29      3340.97       859.03    696386.55
       30      3336.85       863.15    695523.40
       31      3332.72       867.28    694656.12
       32      3328.56       871.44    693784.68
       33      3324.38       875.62    692909.06
       34      3320.19       879.81    692029.25
       35      3315.97       884.03    691145.22
       36      3311.74       888.26    690256.96
       37      3307.48       892.52    689364.44
       38      3303.20       896.80    688467.65
       39      3298.91       901.09    687566.55
       40      3294.59       905.41    686661.14
       41      3290.25       909.75    685751.40
       42      3285.89       914.11    684837.29
       43      3281.51       918.49    683918.80
       44      3277.11       922.89    682995.91
       45      3272.69       927.31    682068.60
       46      3268.25       931.75    681136.84
       47      3263.78       936.22    680200.63
       48      3259.29       940.71    679259.92
       49      3254.79       945.21    678314.71
       50      3250.26       949.74    677364.97
       51      3245.71       954.29    676410.67
       52      3241.13       958.87    675451.81
       53      3236.54       963.46    674488.35
       54      3231.92       968.08    673520.27
       55      3227.28       972.72    672547.55
       56      3222.62       977.38    671570.18
       57      3217.94       982.06    670588.12
       58      3213.23       986.77    669601.35
       59      3208.51       991.49    668609.86
       60      3203.76       996.24    667613.62
       61      3198.98      1001.02    666612.60
       62      3194.19      1005.81    665606.78
       63      3189.37      1010.63    664596.15
       64      3184.52      1015.48    663580.67
       65      3179.66      1020.34    662560.33
       66      3174.77      1025.23    661535.10
       67      3169.86      1030.14    660504.95
       68      3164.92      1035.08    659469.87
       69      3159.96      1040.04    658429.83
       70      3154.98      1045.02    657384.81
       71      3149.97      1050.03    656334.78
       72      3144.94      1055.06    655279.72
       73      3139.88      1060.12    654219.60
       74      3134.80      1065.20    653154.40
       75      3129.70      1070.30    652084.10
       76      3124.57      1075.43    651008.67
       77      3119.42      1080.58    649928.08
       78      3114.24      1085.76    648842.32
       79      3109.04      1090.96    647751.36
       80      3103.81      1096.19    646655.17
       81      3098.56      1101.44    645553.72
       82      3093.28      1106.72    644447.00
       83      3087.98      1112.02    643334.98
       84      3082.65      1117.35    642217.62
       85      3077.29      1122.71    641094.92
       86      3071.91      1128.09    639966.83
       87      3066.51      1133.49    638833.34
       88      3061.08      1138.92    637694.41
       89      3055.62      1144.38    636550.03
       90      3050.14      1149.86    635400.17
       91      3044.63      1155.37    634244.79
       92      3039.09      1160.91    633083.88
       93      3033.53      1166.47    631917.41
       94      3027.94      1172.06    630745.35
       95      3022.32      1177.68    629567.67
       96      3016.68      1183.32    628384.35
       97      3011.01      1188.99    627195.36
       98      3005.31      1194.69    626000.67
       99      2999.59      1200.41    624800.25
      100      2993.83      1206.17    623594.09
      101      2988.06      1211.94    622382.14
      102      2982.25      1217.75    621164.39
      103      2976.41      1223.59    619940.80
      104      2970.55      1229.45    618711.35
      105      2964.66      1235.34    617476.01
      106      2958.74      1241.26    616234.75
      107      2952.79      1247.21    614987.54
      108      2946.82      1253.18    613734.36
      109      2940.81      1259.19    612475.17
      110      2934.78      1265.22    611209.95
      111      2928.71      1271.29    609938.66
      112      2922.62      1277.38    608661.28
      113      2916.50      1283.50    607377.78
      114      2910.35      1289.65    606088.14
      115      2904.17      1295.83    604792.31
      116      2897.96      1302.04    603490.27
      117      2891.72      1308.28    602182.00
      118      2885.46      1314.54    600867.45
      119      2879.16      1320.84    599546.61
      120      2872.83      1327.17    598219.44
      121      2866.47      1333.53    596885.90
      122      2860.08      1339.92    595545.98
      123      2853.66      1346.34    594199.64
      124      2847.21      1352.79    592846.85
      125      2840.72      1359.28    591487.57
      126      2834.21      1365.79    590121.78
      127      2827.67      1372.33    588749.45
      128      2821.09      1378.91    587370.54
      129      2814.48      1385.52    585985.02
      130      2807.84      1392.16    584592.87
      131      2801.17      1398.83    583194.04
      132      2794.47      1405.53    581788.51
      133      2787.74      1412.26    580376.25
      134      2780.97      1419.03    578957.22
      135      2774.17      1425.83    577531.39
      136      2767.34      1432.66    576098.73
      137      2760.47      1439.53    574659.20
      138      2753.58      1446.42    573212.78
      139      2746.64      1453.36    571759.42
      140      2739.68      1460.32    570299.10
      141      2732.68      1467.32    568831.79
      142      2725.65      1474.35    567357.44
      143      2718.59      1481.41    565876.03
      144      2711.49      1488.51    564387.51
      145      2704.36      1495.64    562891.87
      146      2697.19      1502.81    561389.06
      147      2689.99      1510.01    559879.05
      148      2682.75      1517.25    558361.81
      149      2675.48      1524.52    556837.29
      150      2668.18      1531.82    555305.47
      151      2660.84      1539.16    553766.31
      152      2653.46      1546.54    552219.77
      153      2646.05      1553.95    550665.82
      154      2638.61      1561.39    549104.43
      155      2631.13      1568.87    547535.56
      156      2623.61      1576.39    545959.16
      157      2616.05      1583.95    544375.22
      158      2608.46      1591.54    542783.68
      159      2600.84      1599.16    541184.52
      160      2593.18      1606.82    539577.70
      161      2585.48      1614.52    537963.17
      162      2577.74      1622.26    536340.91
      163      2569.97      1630.03    534710.88
      164      2562.16      1637.84    533073.04
      165      2554.31      1645.69    531427.34
      166      2546.42      1653.58    529773.77
      167      2538.50      1661.50    528112.27
      168      2530.54      1669.46    526442.80
      169      2522.54      1677.46    524765.34
      170      2514.50      1685.50    523079.84
      171      2506.42      1693.58    521386.27
      172      2498.31      1701.69    519684.58
      173      2490.16      1709.84    517974.73
      174      2481.96      1718.04    516256.69
      175      2473.73      1726.27    514530.42
      176      2465.46      1734.54    512795.88
      177      2457.15      1742.85    511053.03
      178      2448.80      1751.20    509301.83
      179      2440.40      1759.60    507542.23
      180      2431.97      1768.03    505774.20
      181      2423.50      1776.50    503997.70
      182      2414.99      1785.01    502212.69
      183      2406.44      1793.56    500419.13
      184      2397.84      1802.16    498616.97
      185      2389.21      1810.79    496806.18
      186      2380.53      1819.47    494986.71
      187      2371.81      1828.19    493158.52
      188      2363.05      1836.95    491321.57
      189      2354.25      1845.75    489475.82
      190      2345.40      1854.60    487621.22
      191      2336.52      1863.48    485757.74
      192      2327.59      1872.41    483885.33
      193      2318.62      1881.38    482003.95
      194      2309.60      1890.40    480113.55
      195      2300.54      1899.46    478214.09
      196      2291.44      1908.56    476305.54
      197      2282.30      1917.70    474387.83
      198      2273.11      1926.89    472460.94
