Mortgage Amount:       $ 651190.42
Mortgage Duration:     30.00
Interest Rate:         2.87%
Monthly Payment:       $ 2700.00
Total Payment:         $ 972000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

        1      1557.43      1142.57    650047.85
        2      1554.70      1145.30    648902.55
        3      1551.96      1148.04    647754.50
        4      1549.21      1150.79    646603.72
        5      1546.46      1153.54    645450.18
        6      1543.70      1156.30    644293.88
        7      1540.94      1159.06    643134.82
        8      1538.16      1161.84    641972.98
        9      1535.39      1164.61    640808.37
       10      1532.60      1167.40    639640.97
       11      1529.81      1170.19    638470.77
       12      1527.01      1172.99    637297.78
       13      1524.20      1175.80    636121.99
       14      1521.39      1178.61    634943.38
       15      1518.57      1181.43    633761.95
       16      1515.75      1184.25    632577.70
       17      1512.91      1187.09    631390.61
       18      1510.08      1189.92    630200.69
       19      1507.23      1192.77    629007.92
       20      1504.38      1195.62    627812.30
       21      1501.52      1198.48    626613.81
       22      1498.65      1201.35    625412.47
       23      1495.78      1204.22    624208.24
       24      1492.90      1207.10    623001.14
       25      1490.01      1209.99    621791.15
       26      1487.12      1212.88    620578.27
       27      1484.22      1215.78    619362.49
       28      1481.31      1218.69    618143.80
       29      1478.39      1221.61    616922.19
       30      1475.47      1224.53    615697.66
       31      1472.54      1227.46    614470.20
       32      1469.61      1230.39    613239.81
       33      1466.67      1233.33    612006.48
       34      1463.72      1236.28    610770.19
       35      1460.76      1239.24    609530.95
       36      1457.79      1242.21    608288.75
       37      1454.82      1245.18    607043.57
       38      1451.85      1248.15    605795.42
       39      1448.86      1251.14    604544.28
       40      1445.87      1254.13    603290.15
       41      1442.87      1257.13    602033.01
       42      1439.86      1260.14    600772.88
       43      1436.85      1263.15    599509.73
       44      1433.83      1266.17    598243.55
       45      1430.80      1269.20    596974.35
       46      1427.76      1272.24    595702.12
       47      1424.72      1275.28    594426.84
       48      1421.67      1278.33    593148.51
       49      1418.61      1281.39    591867.12
       50      1415.55      1284.45    590582.67
       51      1412.48      1287.52    589295.15
       52      1409.40      1290.60    588004.54
       53      1406.31      1293.69    586710.86
       54      1403.22      1296.78    585414.07
       55      1400.12      1299.88    584114.19
       56      1397.01      1302.99    582811.19
       57      1393.89      1306.11    581505.08
       58      1390.77      1309.23    580195.85
       59      1387.64      1312.36    578883.49
       60      1384.50      1315.50    577567.98
       61      1381.35      1318.65    576249.33
       62      1378.20      1321.80    574927.53
       63      1375.04      1324.96    573602.56
       64      1371.87      1328.13    572274.43
       65      1368.69      1331.31    570943.12
       66      1365.51      1334.49    569608.62
       67      1362.31      1337.69    568270.94
       68      1359.11      1340.89    566930.05
       69      1355.91      1344.09    565585.96
       70      1352.69      1347.31    564238.65
       71      1349.47      1350.53    562888.12
       72      1346.24      1353.76    561534.37
       73      1343.00      1357.00    560177.37
       74      1339.76      1360.24    558817.13
       75      1336.50      1363.50    557453.63
       76      1333.24      1366.76    556086.87
       77      1329.97      1370.03    554716.85
       78      1326.70      1373.30    553343.55
       79      1323.41      1376.59    551966.96
       80      1320.12      1379.88    550587.08
       81      1316.82      1383.18    549203.90
       82      1313.51      1386.49    547817.41
       83      1310.20      1389.80    546427.61
       84      1306.87      1393.13    545034.48
       85      1303.54      1396.46    543638.02
       86      1300.20      1399.80    542238.22
       87      1296.85      1403.15    540835.08
       88      1293.50      1406.50    539428.58
       89      1290.13      1409.87    538018.71
       90      1286.76      1413.24    536605.47
       91      1283.38      1416.62    535188.85
       92      1279.99      1420.01    533768.84
       93      1276.60      1423.40    532345.44
       94      1273.19      1426.81    530918.63
       95      1269.78      1430.22    529488.42
       96      1266.36      1433.64    528054.77
       97      1262.93      1437.07    526617.71
       98      1259.49      1440.51    525177.20
       99      1256.05      1443.95    523733.25
      100      1252.60      1447.40    522285.84
      101      1249.13      1450.87    520834.98
      102      1245.66      1454.34    519380.64
      103      1242.19      1457.81    517922.83
      104      1238.70      1461.30    516461.53
      105      1235.20      1464.80    514996.73
      106      1231.70      1468.30    513528.43
      107      1228.19      1471.81    512056.62
      108      1224.67      1475.33    510581.29
      109      1221.14      1478.86    509102.43
      110      1217.60      1482.40    507620.03
      111      1214.06      1485.94    506134.09
      112      1210.50      1489.50    504644.59
      113      1206.94      1493.06    503151.53
      114      1203.37      1496.63    501654.91
      115      1199.79      1500.21    500154.70
      116      1196.20      1503.80    498650.90
      117      1192.61      1507.39    497143.51
      118      1189.00      1511.00    495632.51
      119      1185.39      1514.61    494117.90
      120      1181.77      1518.23    492599.66
      121      1178.13      1521.87    491077.80
      122      1174.49      1525.51    489552.29
      123      1170.85      1529.15    488023.14
      124      1167.19      1532.81    486490.32
      125      1163.52      1536.48    484953.85
      126      1159.85      1540.15    483413.69
      127      1156.16      1543.84    481869.86
      128      1152.47      1547.53    480322.33
      129      1148.77      1551.23    478771.10
      130      1145.06      1554.94    477216.16
      131      1141.34      1558.66    475657.51
      132      1137.61      1562.39    474095.12
      133      1133.88      1566.12    472529.00
      134      1130.13      1569.87    470959.13
      135      1126.38      1573.62    469385.51
      136      1122.61      1577.39    467808.12
      137      1118.84      1581.16    466226.96
      138      1115.06      1584.94    464642.02
      139      1111.27      1588.73    463053.29
      140      1107.47      1592.53    461460.76
      141      1103.66      1596.34    459864.42
      142      1099.84      1600.16    458264.26
      143      1096.02      1603.98    456660.28
      144      1092.18      1607.82    455052.46
      145      1088.33      1611.67    453440.79
      146      1084.48      1615.52    451825.27
      147      1080.62      1619.38    450205.88
      148      1076.74      1623.26    448582.63
      149      1072.86      1627.14    446955.49
      150      1068.97      1631.03    445324.45
      151      1065.07      1634.93    443689.52
      152      1061.16      1638.84    442050.68
      153      1057.24      1642.76    440407.92
      154      1053.31      1646.69    438761.23
      155      1049.37      1650.63    437110.60
      156      1045.42      1654.58    435456.02
      157      1041.47      1658.53    433797.49
      158      1037.50      1662.50    432134.98
      159      1033.52      1666.48    430468.51
      160      1029.54      1670.46    428798.05
      161      1025.54      1674.46    427123.59
      162      1021.54      1678.46    425445.12
      163      1017.52      1682.48    423762.65
      164      1013.50      1686.50    422076.15
      165      1009.47      1690.53    420385.61
      166      1005.42      1694.58    418691.03
      167      1001.37      1698.63    416992.40
      168       997.31      1702.69    415289.71
      169       993.23      1706.77    413582.94
      170       989.15      1710.85    411872.10
      171       985.06      1714.94    410157.16
      172       980.96      1719.04    408438.12
      173       976.85      1723.15    406714.96
      174       972.73      1727.27    404987.69
      175       968.60      1731.40    403256.29
      176       964.45      1735.55    401520.74
      177       960.30      1739.70    399781.05
      178       956.14      1743.86    398037.19
      179       951.97      1748.03    396289.16
      180       947.79      1752.21    394536.95
      181       943.60      1756.40    392780.55
      182       939.40      1760.60    391019.95
      183       935.19      1764.81    389255.14
      184       930.97      1769.03    387486.11
      185       926.74      1773.26    385712.85
      186       922.50      1777.50    383935.35
      187       918.25      1781.75    382153.59
      188       913.98      1786.02    380367.57
      189       909.71      1790.29    378577.29
      190       905.43      1794.57    376782.72
      191       901.14      1798.86    374983.86
      192       896.84      1803.16    373180.69
      193       892.52      1807.48    371373.22
      194       888.20      1811.80    369561.42
      195       883.87      1816.13    367745.29
      196       879.52      1820.48    365924.81
      197       875.17      1824.83    364099.98
