Mortgage Amount:       $ 479802.99
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 2800.00
Total Payment:         $ 1008000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

        1      2299.06       500.94    479302.04
        2      2296.66       503.34    478798.70
        3      2294.24       505.76    478292.94
        4      2291.82       508.18    477784.76
        5      2289.39       510.61    477274.15
        6      2286.94       513.06    476761.09
        7      2284.48       515.52    476245.57
        8      2282.01       517.99    475727.58
        9      2279.53       520.47    475207.11
       10      2277.03       522.97    474684.14
       11      2274.53       525.47    474158.67
       12      2272.01       527.99    473630.68
       13      2269.48       530.52    473100.16
       14      2266.94       533.06    472567.10
       15      2264.38       535.62    472031.48
       16      2261.82       538.18    471493.30
       17      2259.24       540.76    470952.54
       18      2256.65       543.35    470409.18
       19      2254.04       545.96    469863.23
       20      2251.43       548.57    469314.66
       21      2248.80       551.20    468763.46
       22      2246.16       553.84    468209.61
       23      2243.50       556.50    467653.12
       24      2240.84       559.16    467093.96
       25      2238.16       561.84    466532.11
       26      2235.47       564.53    465967.58
       27      2232.76       567.24    465400.34
       28      2230.04       569.96    464830.39
       29      2227.31       572.69    464257.70
       30      2224.57       575.43    463682.27
       31      2221.81       578.19    463104.08
       32      2219.04       580.96    462523.12
       33      2216.26       583.74    461939.37
       34      2213.46       586.54    461352.83
       35      2210.65       589.35    460763.48
       36      2207.83       592.17    460171.31
       37      2204.99       595.01    459576.30
       38      2202.14       597.86    458978.43
       39      2199.27       600.73    458377.70
       40      2196.39       603.61    457774.10
       41      2193.50       606.50    457167.60
       42      2190.59       609.41    456558.19
       43      2187.67       612.33    455945.87
       44      2184.74       615.26    455330.61
       45      2181.79       618.21    454712.40
       46      2178.83       621.17    454091.23
       47      2175.85       624.15    453467.08
       48      2172.86       627.14    452839.95
       49      2169.86       630.14    452209.80
       50      2166.84       633.16    451576.64
       51      2163.80       636.20    450940.45
       52      2160.76       639.24    450301.20
       53      2157.69       642.31    449658.90
       54      2154.62       645.38    449013.51
       55      2151.52       648.48    448365.04
       56      2148.42       651.58    447713.45
       57      2145.29       654.71    447058.75
       58      2142.16       657.84    446400.90
       59      2139.00       661.00    445739.91
       60      2135.84       664.16    445075.74
       61      2132.65       667.35    444408.40
       62      2129.46       670.54    443737.86
       63      2126.24       673.76    443064.10
       64      2123.02       676.98    442387.11
       65      2119.77       680.23    441706.89
       66      2116.51       683.49    441023.40
       67      2113.24       686.76    440336.64
       68      2109.95       690.05    439646.58
       69      2106.64       693.36    438953.22
       70      2103.32       696.68    438256.54
       71      2099.98       700.02    437556.52
       72      2096.62       703.38    436853.14
       73      2093.25       706.75    436146.40
       74      2089.87       710.13    435436.27
       75      2086.47       713.53    434722.73
       76      2083.05       716.95    434005.78
       77      2079.61       720.39    433285.39
       78      2076.16       723.84    432561.55
       79      2072.69       727.31    431834.24
       80      2069.21       730.79    431103.44
       81      2065.70       734.30    430369.15
       82      2062.19       737.81    429631.33
       83      2058.65       741.35    428889.98
       84      2055.10       744.90    428145.08
       85      2051.53       748.47    427396.61
       86      2047.94       752.06    426644.55
       87      2044.34       755.66    425888.89
       88      2040.72       759.28    425129.61
       89      2037.08       762.92    424366.69
       90      2033.42       766.58    423600.11
       91      2029.75       770.25    422829.86
       92      2026.06       773.94    422055.92
       93      2022.35       777.65    421278.27
       94      2018.63       781.37    420496.90
       95      2014.88       785.12    419711.78
       96      2011.12       788.88    418922.90
       97      2007.34       792.66    418130.24
       98      2003.54       796.46    417333.78
       99      1999.72       800.28    416533.50
      100      1995.89       804.11    415729.39
      101      1992.04       807.96    414921.43
      102      1988.17       811.83    414109.59
      103      1984.28       815.72    413293.87
      104      1980.37       819.63    412474.24
      105      1976.44       823.56    411650.67
      106      1972.49       827.51    410823.17
      107      1968.53       831.47    409991.70
      108      1964.54       835.46    409156.24
      109      1960.54       839.46    408316.78
      110      1956.52       843.48    407473.30
      111      1952.48       847.52    406625.77
      112      1948.42       851.58    405774.19
      113      1944.33       855.67    404918.52
      114      1940.23       859.77    404058.76
      115      1936.11       863.89    403194.87
      116      1931.98       868.02    402326.85
      117      1927.82       872.18    401454.66
      118      1923.64       876.36    400578.30
      119      1919.44       880.56    399697.74
      120      1915.22       884.78    398812.96
      121      1910.98       889.02    397923.94
      122      1906.72       893.28    397030.65
      123      1902.44       897.56    396133.09
      124      1898.14       901.86    395231.23
      125      1893.82       906.18    394325.05
      126      1889.47       910.53    393414.52
      127      1885.11       914.89    392499.63
      128      1880.73       919.27    391580.36
      129      1876.32       923.68    390656.68
      130      1871.90       928.10    389728.58
      131      1867.45       932.55    388796.03
      132      1862.98       937.02    387859.01
      133      1858.49       941.51    386917.50
      134      1853.98       946.02    385971.48
      135      1849.45       950.55    385020.93
      136      1844.89       955.11    384065.82
      137      1840.32       959.68    383106.13
      138      1835.72       964.28    382141.85
      139      1831.10       968.90    381172.95
      140      1826.45       973.55    380199.40
      141      1821.79       978.21    379221.19
      142      1817.10       982.90    378238.29
      143      1812.39       987.61    377250.68
      144      1807.66       992.34    376258.34
      145      1802.90       997.10    375261.25
      146      1798.13      1001.87    374259.37
      147      1793.33      1006.67    373252.70
      148      1788.50      1011.50    372241.20
      149      1783.66      1016.34    371224.86
      150      1778.79      1021.21    370203.64
      151      1773.89      1026.11    369177.54
      152      1768.98      1031.02    368146.51
      153      1764.04      1035.96    367110.55
      154      1759.07      1040.93    366069.62
      155      1754.08      1045.92    365023.70
      156      1749.07      1050.93    363972.78
      157      1744.04      1055.96    362916.81
      158      1738.98      1061.02    361855.79
      159      1733.89      1066.11    360789.68
      160      1728.78      1071.22    359718.46
      161      1723.65      1076.35    358642.12
      162      1718.49      1081.51    357560.61
      163      1713.31      1086.69    356473.92
      164      1708.10      1091.90    355382.02
      165      1702.87      1097.13    354284.90
      166      1697.62      1102.38    353182.51
      167      1692.33      1107.67    352074.84
      168      1687.03      1112.97    350961.87
      169      1681.69      1118.31    349843.56
      170      1676.33      1123.67    348719.90
      171      1670.95      1129.05    347590.85
      172      1665.54      1134.46    346456.38
      173      1660.10      1139.90    345316.49
      174      1654.64      1145.36    344171.13
      175      1649.15      1150.85    343020.28
      176      1643.64      1156.36    341863.92
      177      1638.10      1161.90    340702.02
      178      1632.53      1167.47    339534.55
      179      1626.94      1173.06    338361.49
      180      1621.32      1178.68    337182.80
      181      1615.67      1184.33    335998.47
      182      1609.99      1190.01    334808.46
      183      1604.29      1195.71    333612.75
      184      1598.56      1201.44    332411.31
      185      1592.80      1207.20    331204.12
      186      1587.02      1212.98    329991.14
      187      1581.21      1218.79    328772.35
      188      1575.37      1224.63    327547.71
      189      1569.50      1230.50    326317.21
      190      1563.60      1236.40    325080.82
      191      1557.68      1242.32    323838.49
      192      1551.73      1248.27    322590.22
      193      1545.74      1254.26    321335.97
      194      1539.73      1260.27    320075.70
      195      1533.70      1266.30    318809.40
      196      1527.63      1272.37    317537.02
      197      1521.53      1278.47    316258.56
      198      1515.41      1284.59    314973.96
      199      1509.25      1290.75    313683.21
      200      1503.07      1296.93    312386.28
      201      1496.85      1303.15    311083.13
      202      1490.61      1309.39    309773.74
      203      1484.33      1315.67    308458.07
